question,url_a
seguro,https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_0.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_0.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_90.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg
agradavel,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg
seguro,https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg
agradavel,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg
seguro,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__270.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__270.jpg
agradavel,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg
seguro,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg
agradavel,https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg
seguro,https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg
